                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.017,                 2.3807,                 1.2147,                0.70264,                 0.7013,                0.75639,                0.49752,                 1.0553,                 2.0791,                 1.3032,             0.00041526,             0.00041526,             0.00041526
                      2,                 1.0386,                  1.364,                  1.216,                0.74655,                0.66611,                0.73496,                0.52495,                 1.0425,                 1.4203,                 1.3278,             0.00082369,             0.00082369,             0.00082369
                      3,                 1.0381,                 1.0966,                 1.2039,                 0.7841,                0.74875,                0.82486,                  0.612,                0.98891,                 1.1102,                 1.2804,              0.0012239,              0.0012239,              0.0012239
                      4,                 1.0112,                0.98813,                 1.1954,                 0.8268,                0.72725,                0.83321,                0.60985,                 0.9407,                 1.0377,                 1.2555,              0.0012129,              0.0012129,              0.0012129
                      5,                0.99512,                0.89545,                 1.1852,                0.87385,                0.84918,                0.90895,                0.66863,                0.95412,                0.73163,                 1.2365,              0.0012005,              0.0012005,              0.0012005
                      6,                0.97528,                0.85293,                 1.1848,                0.86198,                0.80247,                0.88969,                0.65642,                0.89713,                0.80989,                 1.2053,              0.0011881,              0.0011881,              0.0011881
                      7,                0.94845,                0.80293,                 1.1655,                0.85072,                0.81755,                0.88527,                0.64079,                0.95401,                0.84851,                 1.2692,              0.0011757,              0.0011757,              0.0011757
                      8,                0.93821,                0.76785,                 1.1515,                0.86879,                0.86853,                0.91542,                0.69479,                0.89612,                0.68034,                 1.2129,              0.0011634,              0.0011634,              0.0011634
                      9,                0.93306,                0.74327,                 1.1568,                 0.8478,                0.84864,                0.91413,                0.69617,                0.86492,                0.73205,                 1.1958,               0.001151,               0.001151,               0.001151
                     10,                0.90962,                0.71482,                 1.1314,                0.92031,                 0.8827,                0.93715,                0.71476,                 0.8478,                 0.5839,                 1.1925,              0.0011386,              0.0011386,              0.0011386
                     11,                0.90352,                0.69945,                 1.1333,                0.86084,                0.89466,                0.92501,                0.69319,                0.90745,                0.62136,                 1.2447,              0.0011263,              0.0011263,              0.0011263
                     12,                0.89691,                0.68803,                 1.1369,                0.89718,                0.88374,                0.93578,                0.71656,                0.85386,                0.60755,                 1.1901,              0.0011139,              0.0011139,              0.0011139
                     13,                0.89267,                0.67171,                 1.1268,                0.95081,                0.87345,                0.94969,                0.73877,                0.83705,                0.57977,                 1.1654,              0.0011015,              0.0011015,              0.0011015
                     14,                0.88435,                0.66309,                 1.1272,                0.90511,                0.89557,                0.94231,                0.73787,                0.81382,                0.57502,                 1.1513,              0.0010891,              0.0010891,              0.0010891
                     15,                0.86282,                0.62293,                 1.1084,                0.93451,                0.89618,                0.93687,                0.73036,                0.83982,                0.55874,                 1.1761,              0.0010768,              0.0010768,              0.0010768
                     16,                0.86775,                0.62761,                 1.1051,                0.93477,                0.89677,                0.93814,                0.74311,                0.81885,                0.54768,                 1.1425,              0.0010644,              0.0010644,              0.0010644
                     17,                0.86052,                0.62307,                 1.1013,                0.89475,                0.90664,                0.93671,                 0.7294,                0.83459,                0.57265,                 1.1558,               0.001052,               0.001052,               0.001052
                     18,                0.85744,                 0.6258,                 1.1005,                0.92666,                0.87422,                0.94464,                0.74131,                 0.8217,                0.54492,                 1.1667,              0.0010396,              0.0010396,              0.0010396
                     19,                0.84204,                0.59969,                 1.0911,                 0.9396,                0.90093,                0.94877,                0.73834,                 0.8182,                0.52272,                 1.1479,              0.0010273,              0.0010273,              0.0010273
